index,symbol,cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77
0,AADAT,1,2.3200237983,0.589660044901,0.0414666065062,-0.404375629622,0.277518762827,-0.788775537927,-0.706270029966,-0.557151995807,-0.77209601921
1,AHSG,1,2.14615702149,-0.100883124808,0.545677197408,-0.472450152258,0.552818021937,-0.675108852526,0.0371675541054,-1.14472469465,-0.8886529707
2,ARC,1,2.62083767837,-0.349352672159,0.101332239245,-0.358635474922,-0.546528991037,-0.375858599757,-0.498202744859,-0.242344125704,-0.351247309178
3,ATF7IP2,1,2.47732312244,0.00155305388351,0.251872336272,-0.679824293879,-0.436090313043,-0.689438684217,-0.310929183732,0.132258344652,-0.746724382383
4,CACNA1B,1,2.37777349262,-0.0905315441978,-0.898056274477,-0.149780277348,-0.864510503555,0.381531113411,-0.7846187153,0.00739898155907,0.0207937272862
5,CLC,1,2.57995476772,-0.302708971342,-0.185781041403,-0.669713740298,-0.593162323662,-0.322178846466,0.196328420498,-0.469824717679,-0.232913547366
6,DGCR8,1,2.26547280893,0.783065116089,-0.31055448781,-0.529020171681,-0.675200672102,-0.927694892656,-0.692287896798,-0.155185501268,0.241405697293
7,DHX37,1,2.63530098789,-0.059045500406,-0.297468671095,-0.144488182407,-0.338745422076,-0.402841939722,-0.442645786289,-0.570059822632,-0.380005663259
8,DLGAP3,1,2.40216619372,0.273657867236,0.0973122829256,-0.391446313349,-1.11989859499,-0.727014201567,-0.280493357559,-0.348817232194,0.0945333557836
9,DLST,1,2.49552648788,0.288669643912,-0.506775499005,0.0716111115778,-0.67212263404,-0.0850365317124,-0.248701684929,-0.717308676397,-0.625862217289
10,DOC2A,1,2.28692686657,-0.0692942978645,-0.489548778987,0.771274283881,-0.268098869145,-0.0129536125746,-0.478801746793,-1.11100806575,-0.628495779333
11,DRD3,1,2.651769264,-0.381766328086,-0.443604627673,-0.239837680043,-0.173012716195,-0.443604627673,-0.443604627673,-0.208181417489,-0.318157239172
12,FLNA,1,2.60260014367,-0.322156407915,-0.444257368852,-0.462425469553,-0.520022324176,-0.0550730414077,-0.0248835177666,-0.649608599419,-0.124173414585
13,GABRA1,1,2.64129994606,-0.5086845513,-0.431787651911,-0.444830418439,-0.357574235483,-0.360887507995,-0.243357018513,-0.24675789628,-0.0474206661346
14,GABRB3,1,2.65893317452,-0.364274625023,-0.311185871838,-0.355616939201,-0.401736234589,-0.411977527516,-0.365821083409,-0.289886981317,-0.158433911628
15,GCLC,1,2.54907162819,-0.0309330453988,-0.398904490623,-0.680478774663,-0.555795052277,-0.707575874742,-0.23767103516,0.10564745977,-0.0433608150961
16,GHRL,1,2.47332126676,-0.528238158111,-0.568871675017,0.32448340137,-0.166296215282,-0.86413348085,-0.441490219495,0.185010435754,-0.413785355128
17,GNB1L,1,2.1614806985,0.00133979912656,0.227190865171,0.65336451875,-0.935193067802,0.237760419136,-0.545479915131,-0.900272260017,-0.900191057735
18,GPRIN2,1,2.01531452534,0.452818823497,-1.69734174307,-0.0940486117033,0.332289646319,0.183065102305,-0.0230499342809,-0.495497465633,-0.673550342774
19,GRID2,1,2.66043748096,-0.342660402712,-0.192709644773,-0.309628904568,-0.415986913928,-0.400921136618,-0.38766193765,-0.327843613267,-0.283024927449
20,GRM4,1,2.56656280301,-0.433724231342,-0.307156244205,0.26768876452,-0.410780088509,-0.0721793202454,-0.585648341021,-0.60357478443,-0.42118855778
21,HLA-DQB1,1,2.38336019126,-0.652878475224,-0.270071765436,-0.232513045816,0.483857436196,0.306487991132,-0.441516227612,-0.775699531304,-0.801026573196
22,HMOX2,1,2.5909450322,-0.662399259486,-0.656285525461,-0.346901781891,-0.454461050819,-0.0454477162482,-0.260733768235,-0.141651369352,-0.0230645607115
23,HRAS,1,2.6097681072,-0.294985293,-0.372717438774,-0.228364671735,-0.510367888298,-0.656434718815,-0.220468999441,-0.405865442022,0.0794363448866
24,HTR1A,1,2.6664267608,-0.311343781258,-0.338595646896,-0.332684705859,-0.344463532605,-0.344943862106,-0.345083069499,-0.338447259421,-0.310864903151
25,HTR3A,1,2.66511434577,-0.33093393695,-0.357061264736,-0.344203324772,-0.362526763259,-0.381488015581,-0.324277515149,-0.273227485219,-0.291396040099
26,HTR7,1,2.6484240976,-0.388587844502,-0.405365679245,-0.37631567639,-0.409570990114,-0.394885489651,-0.37208206443,-0.254007603237,-0.0476087500349
27,IL6,1,2.61107753975,-0.477916646834,-0.410429000164,-0.509193188274,-0.508896655449,-0.458598810257,-0.236143365048,0.0178395964228,-0.0277394701436
28,ITGB1,1,2.2779754903,-1.14620358653,-0.662263514281,-0.565722103666,-0.602348433983,-0.21225256352,0.192194106452,0.492331719234,0.22628888599
29,KARS,1,2.46231199693,0.223916221483,-0.271142987987,-0.117895790843,-0.665993377196,0.23971733372,-0.332289949435,-0.722653531392,-0.815969915277
30,KCNS3,1,2.36697047448,0.676193599736,-0.0763451888243,-0.634145454114,-0.44412760036,-0.586299469772,-0.874116311199,-0.474373068237,0.0462430182882
31,KPNA3,1,2.31147240511,-0.415747337779,0.589478233527,-0.59138724838,-1.0895381793,-0.282172717649,0.241525778609,-0.089916241337,-0.673714692795
32,LHX6,1,2.55814854929,-0.669282036562,-0.714523220444,-0.553105829808,-0.24352021717,0.0706212707478,-0.140341195772,0.0192811393458,-0.327278459631
33,LRP8,1,2.18959864027,-1.31758619956,-0.591279244233,-0.951684693789,-0.101081666668,0.126813518446,0.384825904389,0.0753475245243,0.185046216617
34,MBP,1,2.17119118191,-0.732464923465,-0.688360691257,-0.59581480366,-0.684968672837,-0.47925504676,-0.243985091512,0.193030217701,1.06062782988
35,MTIF2,1,2.42185083844,0.685704880514,-0.320858878303,-0.00924769971762,-0.480846811052,-0.657716244862,-0.540753010242,-0.582571283035,-0.515561791741
36,NDUFV2,1,2.1598229918,0.132619203344,0.767142913231,-0.334936694812,-0.483345895104,-0.867585419647,-0.723513497628,0.344115688243,-0.994319289423
37,NLGN4X,1,2.64600758893,-0.156645419972,-0.223633050529,-0.463463334565,-0.315997515439,-0.408950131053,-0.167582526774,-0.442456829568,-0.467278781029
38,NOL9,1,2.51645218178,0.307710503762,0.102999595262,-0.29571404744,-0.320807915753,-0.684377176702,-0.522183562246,-0.655155206969,-0.448924371696
39,OLIG2,1,1.86936064314,-1.25108494987,0.899634458555,0.104774389138,-0.572004463526,0.777552622734,-0.463504478483,-0.827454175875,-0.537274045812
40,PES1,1,2.52189100918,-0.368186341805,-0.551188915339,-0.228143556995,-0.473226497662,0.486794382443,-0.36131195406,-0.636205846985,-0.39042227878
41,PICK1,1,2.59814805877,-0.261574736248,-0.236390615741,-0.535237132657,-0.417486330369,-0.645767892757,-0.492690463533,0.0442366186184,-0.0532375060791
42,PIK3CD,1,2.64225734385,-0.192716529039,-0.458524975295,-0.256243927198,-0.581385837637,-0.442013910655,-0.27258259674,-0.246553221136,-0.192236346153
43,PLAA,1,2.3481472254,0.477956613484,0.124393907314,-0.316153057362,-0.855614781461,0.0508251673808,-0.173112868817,-0.774336153352,-0.882106052583
44,PLCB2,1,2.33776388429,-0.410625652262,-0.0412819202297,0.463315220642,0.421771834824,-0.540619277329,-0.633921468587,-0.840707943466,-0.755694677883
